state1,state2,DOM_RTED,DOM_Levenshtein,DOM_contentHash,DOM_SIMHASH,VISUAL_BlockHash,VISUAL_PHash,VISUAL_Hyst,VISUAL_PDiff,VISUAL_SIFT,VISUAL_SSIM,TLSH_nativ,TLSH_hash2vec,Human
state51,state6,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state5,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state8,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state172,False,False,False,False,True,False,True,True,True,False,False,False,False
state51,state570,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state4,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state176,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state572,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state175,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state167,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state562,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state169,False,False,True,False,True,False,True,True,True,False,False,False,False
state51,state565,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state201,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state204,False,False,True,False,False,False,True,False,True,False,False,False,False
state51,state566,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state206,False,False,True,False,False,False,True,False,True,False,False,False,False
state51,state205,False,False,True,False,False,False,True,False,True,False,False,False,False
state51,state56,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state54,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state209,False,False,False,False,False,False,True,False,True,False,True,False,False
state51,state58,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state42,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state41,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,index,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state581,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state220,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state582,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state211,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state455,True,False,True,False,True,False,True,True,True,False,True,False,False
state51,state575,True,True,True,True,True,True,True,True,True,False,True,False,True
state51,state457,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state578,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state456,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state577,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state217,False,False,False,False,False,False,True,False,True,False,True,False,False
state51,state459,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state612,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state46,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state219,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state615,False,False,True,False,True,False,True,True,True,False,False,False,False
state51,state619,False,False,False,False,False,False,True,False,True,False,True,False,False
state51,state48,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state30,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state192,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state194,False,False,True,False,False,False,True,False,True,False,False,False,False
state51,state196,False,False,True,False,False,False,True,False,True,False,False,False,False
state51,state471,True,True,True,True,True,True,True,True,True,False,True,True,True
state51,state195,False,False,True,False,False,False,True,False,True,False,False,False,False
state51,state591,True,True,True,True,True,True,True,True,True,False,True,False,True
state51,state110,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state473,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state594,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state189,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state100,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state463,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state103,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state465,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state586,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state104,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state588,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state621,False,False,True,False,False,False,True,False,True,False,False,False,False
state51,state623,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state35,True,True,True,True,True,True,True,True,True,False,True,True,True
state51,state505,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state108,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state32,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state506,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state509,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state38,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state37,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state20,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state482,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state484,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state120,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state596,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state199,False,False,False,False,False,False,True,False,True,False,True,False,False
state51,state474,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state235,False,False,False,False,True,False,True,True,True,False,False,False,False
state51,state477,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state510,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state598,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state113,True,True,True,True,True,True,True,True,True,False,True,True,True
state51,state116,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state478,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state118,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state514,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state516,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state22,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state519,True,True,True,True,True,True,True,True,True,False,True,False,True
state51,state26,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state25,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state92,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state97,True,True,True,True,True,True,True,True,True,False,True,True,True
state51,state94,True,True,True,True,True,False,True,True,True,False,True,False,False
state51,state490,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state251,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state250,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state492,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state131,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state494,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state521,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state18,False,False,False,False,False,False,True,False,True,False,True,False,False
state51,state487,True,True,True,True,True,True,True,True,True,False,True,True,True
state51,state247,False,False,False,False,True,False,True,True,True,False,False,False,False
state51,state522,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state525,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state526,True,True,True,True,True,True,True,True,True,False,True,False,False
state51,state99,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state10,True,False,True,True,False,False,True,False,True,False,True,False,False
state51,state15,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state14,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state82,False,False,True,False,False,False,True,False,True,False,True,False,False
state51,state80,False,False,False,False,False,False,True,False,True,False,True,False,False
state51,state84,True,False,True,True,False,False,True,False,True,False,True,False,False
