state1,state2,DOM_RTED,DOM_Levenshtein,DOM_contentHash,DOM_SIMHASH,VISUAL_BlockHash,VISUAL_PHash,VISUAL_Hyst,VISUAL_PDiff,VISUAL_SIFT,VISUAL_SSIM,TLSH_nativ,TLSH_hash2vec,Human
state1416,state6,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state5,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state2,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state4,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state3,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state683,False,False,False,True,True,True,True,False,False,False,True,False,False
state1416,state443,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1010,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state688,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state841,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state602,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state326,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state56,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state42,False,False,False,True,True,True,True,False,False,False,True,False,False
state1416,state1300,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,index,False,False,False,True,False,False,False,False,False,False,False,False,False
state1416,state185,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state298,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state455,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state850,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state217,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state338,False,False,False,True,False,True,True,False,False,False,True,False,False
state1416,state908,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1439,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state110,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state594,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state860,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state221,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state747,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state33,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state904,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1208,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1328,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state20,False,False,False,True,False,True,True,False,False,False,True,False,False
state1416,state1045,False,False,False,True,False,True,True,False,False,False,True,False,False
state1416,state1567,False,False,True,True,False,True,True,False,False,False,False,False,False
state1416,state242,True,True,True,True,False,True,True,False,False,False,True,False,False
state1416,state992,False,False,False,True,True,True,True,False,False,False,True,False,False
state1416,state474,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state234,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state29,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state597,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state632,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state516,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state758,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state91,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state97,False,False,False,True,True,True,True,False,False,False,True,False,False
state1416,state1211,True,True,True,True,True,True,True,True,False,False,True,False,True
state1416,state491,True,True,True,True,True,True,True,True,False,False,True,False,True
state1416,state130,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state367,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state245,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1054,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state401,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state128,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state13,False,False,False,True,True,True,True,False,False,False,True,False,False
state1416,state406,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state925,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state16,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state15,False,False,False,True,False,True,True,False,False,False,True,False,False
state1416,state81,False,False,True,True,True,True,True,False,False,False,False,False,False
state1416,state1586,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state263,False,False,True,True,False,True,True,False,False,False,False,False,False
state1416,state376,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state650,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state652,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state894,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state413,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state934,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state89,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state87,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state937,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1639,True,True,True,True,True,True,True,True,False,False,True,False,True
state1416,state1111,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1199,True,True,True,True,True,True,True,True,False,False,True,False,True
state1416,state391,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state394,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1356,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1191,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state820,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state1230,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state1472,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1196,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state944,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state947,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state706,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state64,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state62,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state1409,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state1244,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state397,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state311,True,True,True,True,True,True,True,True,False,False,True,False,True
state1416,state556,True,True,True,True,True,True,True,False,False,False,True,False,False
state1416,state798,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state830,True,True,True,True,True,True,True,True,False,False,True,False,True
state1416,state1360,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state66,True,True,True,True,True,True,True,True,False,False,True,False,False
state1416,state838,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state5,True,True,True,True,True,True,True,True,False,False,True,True,True
state6,state2,True,True,True,True,True,True,True,True,False,False,True,True,True
state6,state4,True,True,True,True,True,True,True,True,False,False,True,True,True
state6,state3,True,True,True,True,True,True,True,True,False,False,True,True,True
state6,state683,False,False,False,True,True,True,True,False,False,False,True,False,False
state6,state443,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state1010,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state688,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state841,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state602,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state326,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state56,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state42,False,False,False,True,True,True,True,False,False,False,True,False,False
state6,state1300,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,index,False,False,False,True,False,False,False,False,False,False,False,False,False
state6,state185,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state298,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state455,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state850,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state217,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state338,False,False,False,True,False,True,True,False,False,False,True,False,False
state6,state908,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state1439,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state110,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state594,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state860,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state221,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state747,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state33,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state904,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state1208,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state1328,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state20,False,False,False,True,False,True,True,False,False,False,True,False,False
state6,state1045,False,False,False,True,False,True,True,False,False,False,True,False,False
state6,state1567,False,False,True,True,False,True,True,False,False,False,False,False,False
state6,state242,True,True,True,True,False,True,True,False,False,False,True,False,False
state6,state992,False,False,False,True,True,True,True,False,False,False,True,False,False
state6,state474,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state234,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state29,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state597,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state632,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state516,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state758,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state91,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state97,False,False,False,True,True,True,True,False,False,False,True,False,False
state6,state1211,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state491,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state130,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state367,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state245,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state1054,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state401,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state128,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state13,False,False,False,True,True,True,True,False,False,False,True,False,False
state6,state406,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state925,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state16,True,True,True,True,True,True,True,True,False,False,True,True,True
state6,state15,False,False,False,True,False,True,True,False,False,False,True,False,False
state6,state81,False,False,True,True,True,True,True,False,False,False,False,False,False
state6,state1586,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state263,False,False,True,True,False,True,True,False,False,False,False,False,False
state6,state376,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state650,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state652,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state894,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state413,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state934,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state89,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state87,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state937,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state1639,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state1111,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state1199,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state391,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state394,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state1356,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state1191,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state820,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state1230,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state1472,True,True,True,True,True,True,True,True,False,False,True,False,True
state6,state1196,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state944,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state947,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state706,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state64,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state62,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state1409,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state1244,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state397,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state311,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state556,True,True,True,True,True,True,True,False,False,False,True,False,False
state6,state798,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state830,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state1360,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state66,True,True,True,True,True,True,True,True,False,False,True,False,False
state6,state838,True,True,True,True,True,True,True,True,False,False,True,False,False
state5,state2,True,True,True,True,True,True,True,True,False,False,True,True,True
state5,state4,True,True,True,True,True,True,True,True,False,False,True,True,True
state5,state3,True,True,True,True,True,True,True,True,False,False,True,True,True
state5,state683,False,False,False,True,True,True,True,False,False,False,True,False,False
state5,state443,True,True,True,True,True,True,True,True,False,False,True,False,False
state5,state1010,True,True,True,True,True,True,True,False,False,False,True,False,False
state5,state688,True,True,True,True,True,True,True,False,False,False,True,False,False
state5,state841,True,True,True,True,True,True,True,True,False,False,True,False,False
state5,state602,True,True,True,True,True,True,True,True,False,False,True,False,False
state5,state326,True,True,True,True,True,True,True,False,False,False,True,False,False
state5,state56,True,True,True,True,True,True,True,True,False,False,True,False,False
state5,state42,False,False,False,True,True,True,True,False,False,False,True,False,False
state5,state1300,True,True,True,True,True,True,True,True,False,False,True,False,False
state5,index,False,False,False,True,False,False,False,False,False,False,False,False,False
state5,state185,True,True,True,True,True,True,True,True,False,False,True,False,False
state5,state298,True,True,True,True,True,True,True,True,False,False,True,False,True
