state1,state2,DOM_RTED,DOM_Levenshtein,DOM_contentHash,DOM_SIMHASH,VISUAL_BlockHash,VISUAL_PHash,VISUAL_Hyst,VISUAL_PDiff,VISUAL_SIFT,VISUAL_SSIM,TLSH_nativ,TLSH_hash2vec,Human
state9,state51,True,True,True,True,True,True,True,True,True,False,True,True,True
state9,state1410,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state1652,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state5,False,False,True,True,False,False,True,True,False,False,False,False,False
state9,state1254,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state7,False,False,False,True,False,False,True,True,True,False,False,False,False
state9,state1656,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state3,False,False,True,True,False,False,True,True,True,False,False,False,False
state9,state571,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state288,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state166,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state203,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state566,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state602,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state844,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1371,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state208,False,False,True,True,False,False,True,True,True,False,False,False,False
state9,state729,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state609,True,True,True,True,False,False,True,True,True,False,True,False,False
state9,state1549,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state40,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state181,True,True,True,True,False,False,True,True,True,False,True,False,False
state9,state1421,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,index,False,False,True,True,False,False,True,True,False,False,False,False,False
state9,state1264,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state581,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state1027,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state578,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state214,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state218,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state44,True,True,True,True,False,False,True,True,True,False,True,False,False
state9,state616,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state31,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1155,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state1397,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state470,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state1556,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state1038,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state221,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state224,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state983,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state740,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state467,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state588,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1152,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state228,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state745,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1030,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state348,False,False,False,True,False,False,True,True,True,False,False,False,False
state9,state986,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state901,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state34,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state869,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state37,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state907,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1209,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1449,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state20,False,False,False,True,False,False,True,False,True,False,True,False,False
state9,state1609,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1044,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state240,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state484,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state880,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1445,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state1202,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state232,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state598,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1164,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state236,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state24,True,False,True,True,False,False,True,False,True,False,True,False,False
state9,state22,True,False,True,True,False,False,True,False,True,False,True,False,False
state9,state518,True,False,True,True,False,False,True,False,True,False,True,False,False
state9,state913,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state28,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1619,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state1057,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1177,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state494,True,False,False,True,False,False,True,False,True,False,False,False,False
state9,state252,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state244,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state364,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state400,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state18,True,True,True,True,True,False,True,True,True,False,True,False,False
state9,state487,True,False,True,True,False,False,True,True,True,False,True,False,False
state9,state248,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state126,True,True,True,True,True,True,True,True,True,False,True,True,True
state9,state1053,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state12,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state408,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state528,True,False,True,True,False,False,True,False,True,False,True,False,False
state9,state16,True,True,True,True,True,False,True,True,True,False,True,False,False
state9,state14,True,True,True,True,False,False,True,True,True,False,True,False,False
state9,state1504,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1625,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1629,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1344,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state1464,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state260,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state1221,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state1341,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1589,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state264,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state1225,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state134,False,False,True,True,False,False,True,True,True,False,False,False,False
state9,state378,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state653,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state895,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state256,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state498,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state531,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state137,False,False,True,True,False,False,True,True,True,False,False,False,False
state9,state414,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state535,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state933,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1638,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state70,True,True,True,True,True,True,True,True,True,False,True,True,True
state9,state1239,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1518,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state390,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state1079,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state152,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state272,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state1512,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1632,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1072,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state268,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state1351,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1472,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state305,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state703,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state308,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state706,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state1649,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1008,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1646,False,False,False,True,False,False,True,True,True,False,False,False,False
state9,state280,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state1486,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1000,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1248,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state561,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state285,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state1400,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state276,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state430,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state311,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state556,False,False,True,True,True,False,True,True,True,False,False,False,False
state9,state315,True,True,True,True,True,False,True,True,True,False,True,True,True
state9,state711,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state836,False,False,False,True,False,False,True,False,True,False,False,False,False
state9,state839,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state1410,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state1652,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state5,False,False,True,True,False,False,True,True,False,False,False,False,False
state51,state1254,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state7,False,False,False,True,False,False,True,True,True,False,False,False,False
state51,state1656,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state3,False,False,True,True,False,False,True,True,True,False,False,False,False
state51,state571,False,False,True,True,True,False,True,True,True,False,False,False,False
state51,state288,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state166,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state203,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state566,False,False,True,True,True,False,True,True,True,False,False,False,False
state51,state602,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state844,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state1371,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state208,False,False,True,True,False,False,True,True,True,False,False,False,False
state51,state729,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state609,True,True,True,True,False,False,True,True,True,False,True,False,False
state51,state1549,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state40,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state181,True,True,True,True,False,False,True,True,True,False,True,False,False
state51,state1421,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,index,False,False,True,True,False,False,True,True,False,False,False,False,False
state51,state1264,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state581,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state1027,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state578,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state214,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state218,False,False,True,True,True,False,True,True,True,False,False,False,False
state51,state44,True,True,True,True,False,False,True,True,True,False,True,False,False
state51,state616,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state31,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state1155,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state1397,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state470,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state1556,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state1038,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state221,False,False,True,True,True,False,True,True,True,False,False,False,False
state51,state224,False,False,True,True,True,False,True,True,True,False,False,False,False
state51,state983,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state740,True,True,True,True,True,False,True,True,True,False,True,True,True
state51,state467,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state588,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state1152,False,False,False,True,False,False,True,False,True,False,False,False,False
state51,state228,False,False,True,True,True,False,True,True,True,False,False,False,False
state51,state745,False,False,False,True,False,False,True,False,True,False,False,False,False
