state1,state2,DOM_RTED,DOM_Levenshtein,DOM_contentHash,DOM_SIMHASH,VISUAL_BlockHash,VISUAL_PHash,VISUAL_Hyst,VISUAL_PDiff,VISUAL_SIFT,VISUAL_SSIM,TLSH_nativ,TLSH_hash2vec,Human
state53,state9,False,False,False,True,False,False,True,False,True,False,False,False,False
state53,state51,True,True,True,True,True,True,True,True,True,False,True,False,True
state53,state170,True,True,True,True,True,True,True,True,True,False,True,False,True
state53,state5,False,False,False,True,False,False,True,False,True,False,False,False,False
state53,state290,True,True,True,True,True,True,True,True,True,False,True,False,False
state53,state172,False,False,False,True,False,False,True,False,True,False,False,False,False
state53,state7,False,False,False,True,False,False,True,False,True,False,False,False,False
state53,state292,True,True,True,True,True,True,True,True,True,False,True,False,False
state53,state294,True,True,True,True,True,True,True,True,True,False,True,False,False
state53,state3,False,False,False,True,False,False,True,False,True,False,False,False,False
state53,state175,False,False,False,True,False,False,True,False,True,False,False,False,False
state53,state296,True,True,True,True,True,True,True,True,True,False,True,False,False
state53,state200,False,False,False,True,False,False,True,False,False,False,False,False,False
state53,state288,True,True,True,True,True,True,True,True,True,False,True,False,False
state53,state166,True,True,True,True,True,False,True,False,True,False,True,False,False
state53,state202,False,False,False,True,False,False,True,False,False,False,False,False,False
state53,state168,True,True,True,True,True,False,True,False,True,False,True,False,False
state53,state204,False,False,False,True,False,False,True,False,False,False,False,False,False
state53,state206,False,False,False,True,False,False,True,False,False,False,False,False,False
state53,state57,True,True,True,True,True,True,True,True,True,False,True,False,True
state53,state55,True,True,True,True,True,True,True,True,True,False,True,False,True
state53,state209,True,True,True,True,True,True,True,True,True,False,True,False,False
state53,state59,True,True,True,True,True,True,True,True,True,False,True,False,True
state53,state41,True,True,True,True,True,True,True,True,True,False,True,False,True
state53,index,True,True,True,True,True,True,True,True,True,False,True,False,True
state53,state183,False,False,False,True,False,False,True,False,True,False,False,False,False
state53,state185,True,True,True,True,True,True,True,True,True,False,True,False,True
state53,state211,True,True,True,True,True,False,True,False,True,False,True,False,False
